gtfo_off_title;Disable 'Release Vassal' decisions;Disable 'Release Vassal' decisions;
gtfo_NAU_desc;We've had a good run, but it's time to end our rulership of Nauru: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Nauru: if you love something, let it go!;
gtfo_NAX_title;Grant Naxalite India Independence;Grant Naxalite India Independence;
gtfo_NAX_desc;We've had a good run, but it's time to end our rulership of Naxalite India: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Naxalite India: if you love something, let it go!;
gtfo_NCA_title;Grant New Caledonia Independence;Grant New Caledonia Independence;
gtfo_NCA_desc;We've had a good run, but it's time to end our rulership of New Caledonia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of New Caledonia: if you love something, let it go!;
gtfo_NCS_title;Grant North Caucasus Independence;Grant North Caucasus Independence;
gtfo_NCS_desc;We've had a good run, but it's time to end our rulership of North Caucasus: if you love something, let it go!;We've had a good run, but it's time to end our rulership of North Caucasus: if you love something, let it go!;
gtfo_NCY_title;Grant Northern Cyprus Independence;Grant Northern Cyprus Independence;
gtfo_NCY_desc;We've had a good run, but it's time to end our rulership of Northern Cyprus: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Northern Cyprus: if you love something, let it go!;
gtfo_NDB_title;Grant KwaNdebele Independence;Grant KwaNdebele Independence;
gtfo_NDB_desc;We've had a good run, but it's time to end our rulership of KwaNdebele: if you love something, let it go!;We've had a good run, but it's time to end our rulership of KwaNdebele: if you love something, let it go!;
gtfo_NEP_title;Grant Nepal Independence;Grant Nepal Independence;
gtfo_NEP_desc;We've had a good run, but it's time to end our rulership of Nepal: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Nepal: if you love something, let it go!;
gtfo_NET_title;Grant Netherlands Independence;Grant Netherlands Independence;
gtfo_NET_desc;We've had a good run, but it's time to end our rulership of Netherlands: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Netherlands: if you love something, let it go!;
gtfo_NFL_title;Grant Newfoundland Independence;Grant Newfoundland Independence;
gtfo_NFL_desc;We've had a good run, but it's time to end our rulership of Newfoundland: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Newfoundland: if you love something, let it go!;
gtfo_NGE_title;Grant Nigeria Independence;Grant Nigeria Independence;
gtfo_NGE_desc;We've had a good run, but it's time to end our rulership of Nigeria: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Nigeria: if you love something, let it go!;
gtfo_NGW_title;Grant KaNgwane Independence;Grant KaNgwane Independence;
gtfo_NGW_desc;We've had a good run, but it's time to end our rulership of KaNgwane: if you love something, let it go!;We've had a good run, but it's time to end our rulership of KaNgwane: if you love something, let it go!;
gtfo_NGX_title;Grant Ningxia Independence;Grant Ningxia Independence;
gtfo_NGX_desc;We've had a good run, but it's time to end our rulership of Ningxia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Ningxia: if you love something, let it go!;
gtfo_NIC_title;Grant Nicaragua Independence;Grant Nicaragua Independence;
gtfo_NIC_desc;We've had a good run, but it's time to end our rulership of Nicaragua: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Nicaragua: if you love something, let it go!;
gtfo_NIG_title;Grant Niger Independence;Grant Niger Independence;
gtfo_NIG_desc;We've had a good run, but it's time to end our rulership of Niger: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Niger: if you love something, let it go!;
gtfo_NIR_title;Grant Northern Ireland Independence;Grant Northern Ireland Independence;
gtfo_NIR_desc;We've had a good run, but it's time to end our rulership of Northern Ireland: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Northern Ireland: if you love something, let it go!;
gtfo_NIU_title;Grant Niue Independence;Grant Niue Independence;
gtfo_NIU_desc;We've had a good run, but it's time to end our rulership of Niue: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Niue: if you love something, let it go!;
gtfo_NKH_title;Grant Nakhichevan Independence;Grant Nakhichevan Independence;
gtfo_NKH_desc;We've had a good run, but it's time to end our rulership of Nakhichevan: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Nakhichevan: if you love something, let it go!;
gtfo_NKO_title;Grant North Korea Independence;Grant North Korea Independence;
gtfo_NKO_desc;We've had a good run, but it's time to end our rulership of North Korea: if you love something, let it go!;We've had a good run, but it's time to end our rulership of North Korea: if you love something, let it go!;
gtfo_NMI_title;Grant Northen Marinas Islands Independence;Grant Northen Marinas Islands Independence;
gtfo_NMI_desc;We've had a good run, but it's time to end our rulership of Northen Marinas Islands: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Northen Marinas Islands: if you love something, let it go!;
gtfo_NOR_title;Grant Norway Independence;Grant Norway Independence;
gtfo_NOR_desc;We've had a good run, but it's time to end our rulership of Norway: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Norway: if you love something, let it go!;
gtfo_NOS_title;Grant North Ossetia Independence;Grant North Ossetia Independence;
gtfo_NOS_desc;We've had a good run, but it's time to end our rulership of North Ossetia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of North Ossetia: if you love something, let it go!;
gtfo_NRI_title;Grant Norfolk Island Independence;Grant Norfolk Island Independence;
gtfo_NRI_desc;We've had a good run, but it's time to end our rulership of Norfolk Island: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Norfolk Island: if you love something, let it go!;
gtfo_NRO_title;Grant Novorossiya Independence;Grant Novorossiya Independence;
gtfo_NRO_desc;We've had a good run, but it's time to end our rulership of Novorossiya: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Novorossiya: if you love something, let it go!;
gtfo_NZL_title;Grant New Zealand Independence;Grant New Zealand Independence;
gtfo_NZL_desc;We've had a good run, but it's time to end our rulership of New Zealand: if you love something, let it go!;We've had a good run, but it's time to end our rulership of New Zealand: if you love something, let it go!;
gtfo_OMA_title;Grant Oman Independence;Grant Oman Independence;
gtfo_OMA_desc;We've had a good run, but it's time to end our rulership of Oman: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Oman: if you love something, let it go!;
gtfo_ORI_title;Grant Orissa Independence;Grant Orissa Independence;
gtfo_ORI_desc;We've had a good run, but it's time to end our rulership of Orissa: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Orissa: if you love something, let it go!;
gtfo_PAK_title;Grant Pakistan Independence;Grant Pakistan Independence;
gtfo_PAK_desc;We've had a good run, but it's time to end our rulership of Pakistan: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Pakistan: if you love something, let it go!;
gtfo_PAL_title;Grant Palestine Independence;Grant Palestine Independence;
gtfo_PAL_desc;We've had a good run, but it's time to end our rulership of Palestine: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Palestine: if you love something, let it go!;
gtfo_PAP_title;Grant Papal States Independence;Grant Papal States Independence;
gtfo_PAP_desc;We've had a good run, but it's time to end our rulership of Papal States: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Papal States: if you love something, let it go!;
gtfo_PAT_title;Grant Patani Independence;Grant Patani Independence;
gtfo_PAT_desc;We've had a good run, but it's time to end our rulership of Patani: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Patani: if you love something, let it go!;
gtfo_PAU_title;Grant Palau Independence;Grant Palau Independence;
gtfo_PAU_desc;We've had a good run, but it's time to end our rulership of Palau: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Palau: if you love something, let it go!;
gtfo_IRN_title;Grant Persia Independence;Grant Persia Independence;
gtfo_IRN_desc;We've had a good run, but it's time to end our rulership of Persia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Persia: if you love something, let it go!;
gtfo_PEU_title;Grant Peru Independence;Grant Peru Independence;
gtfo_PEU_desc;We've had a good run, but it's time to end our rulership of Peru: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Peru: if you love something, let it go!;
gtfo_PHI_title;Grant Philippines Independence;Grant Philippines Independence;
gtfo_PHI_desc;We've had a good run, but it's time to end our rulership of Philippines: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Philippines: if you love something, let it go!;
gtfo_PNJ_title;Grant Panjab Independence;Grant Panjab Independence;
gtfo_PNJ_desc;We've had a good run, but it's time to end our rulership of Panjab: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Panjab: if you love something, let it go!;
gtfo_PNM_title;Grant Panama Independence;Grant Panama Independence;
gtfo_PNM_desc;We've had a good run, but it's time to end our rulership of Panama: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Panama: if you love something, let it go!;
gtfo_POL_title;Grant Poland Independence;Grant Poland Independence;
gtfo_POL_desc;We've had a good run, but it's time to end our rulership of Poland: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Poland: if you love something, let it go!;
gtfo_POR_title;Grant Portugal Independence;Grant Portugal Independence;
gtfo_POR_desc;We've had a good run, but it's time to end our rulership of Portugal: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Portugal: if you love something, let it go!;
gtfo_POY_title;Grant Polynesia Independence;Grant Polynesia Independence;
gtfo_POY_desc;We've had a good run, but it's time to end our rulership of Polynesia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Polynesia: if you love something, let it go!;
gtfo_PPN_title;Grant Papua New Guinea Independence;Grant Papua New Guinea Independence;
gtfo_PPN_desc;We've had a good run, but it's time to end our rulership of Papua New Guinea: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Papua New Guinea: if you love something, let it go!;
gtfo_PRG_title;Grant Paraguay Independence;Grant Paraguay Independence;
gtfo_PRG_desc;We've had a good run, but it's time to end our rulership of Paraguay: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Paraguay: if you love something, let it go!;
gtfo_PUL_title;Grant Puntland Independence;Grant Puntland Independence;
gtfo_PUL_desc;We've had a good run, but it's time to end our rulership of Puntland: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Puntland: if you love something, let it go!;
gtfo_PUR_title;Grant Puerto Rico Independence;Grant Puerto Rico Independence;
gtfo_PUR_desc;We've had a good run, but it's time to end our rulership of Puerto Rico: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Puerto Rico: if you love something, let it go!;
gtfo_QAT_title;Grant Qatar Independence;Grant Qatar Independence;
gtfo_QAT_desc;We've had a good run, but it's time to end our rulership of Qatar: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Qatar: if you love something, let it go!;
gtfo_QNG_title;Grant Qing China Independence;Grant Qing China Independence;
gtfo_QNG_desc;We've had a good run, but it's time to end our rulership of Qing China: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Qing China: if you love something, let it go!;
gtfo_QUE_title;Grant Quebec Independence;Grant Quebec Independence;
gtfo_QUE_desc;We've had a good run, but it's time to end our rulership of Quebec: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Quebec: if you love something, let it go!;
gtfo_QWA_title;Grant QwaQwa Independence;Grant QwaQwa Independence;
gtfo_QWA_desc;We've had a good run, but it's time to end our rulership of QwaQwa: if you love something, let it go!;We've had a good run, but it's time to end our rulership of QwaQwa: if you love something, let it go!;
gtfo_RAA_title;Grant Rajputana Independence;Grant Rajputana Independence;
gtfo_RAA_desc;We've had a good run, but it's time to end our rulership of Rajputana: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Rajputana: if you love something, let it go!;
gtfo_RAJ_title;Grant Raj Independence;Grant Raj Independence;
gtfo_RAJ_desc;We've had a good run, but it's time to end our rulership of Raj: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Raj: if you love something, let it go!;
gtfo_RAK_title;Grant Rakhine Independence;Grant Rakhine Independence;
gtfo_RAK_desc;We've had a good run, but it's time to end our rulership of Rakhine: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Rakhine: if you love something, let it go!;
gtfo_RGS_title;Grant Rio Grande do Sul Independence;Grant Rio Grande do Sul Independence;
gtfo_RGS_desc;We've had a good run, but it's time to end our rulership of Rio Grande do Sul: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Rio Grande do Sul: if you love something, let it go!;
gtfo_RHO_title;Grant Southern Rhodesia Independence;Grant Southern Rhodesia Independence;
gtfo_RHO_desc;We've had a good run, but it's time to end our rulership of Southern Rhodesia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Southern Rhodesia: if you love something, let it go!;
gtfo_ROC_title;Grant Rep Of The Congo Independence;Grant Rep Of The Congo Independence;
gtfo_ROC_desc;We've had a good run, but it's time to end our rulership of Rep Of The Congo: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Rep Of The Congo: if you love something, let it go!;
gtfo_ROJ_title;Grant Rojava Independence;Grant Rojava Independence;
gtfo_ROJ_desc;We've had a good run, but it's time to end our rulership of Rojava: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Rojava: if you love something, let it go!;
gtfo_ROM_title;Grant Romania Independence;Grant Romania Independence;
gtfo_ROM_desc;We've had a good run, but it's time to end our rulership of Romania: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Romania: if you love something, let it go!;
gtfo_RSR_title;Grant Republica Srpska Independence;Grant Republica Srpska Independence;
gtfo_RSR_desc;We've had a good run, but it's time to end our rulership of Republica Srpska: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Republica Srpska: if you love something, let it go!;
gtfo_RUS_title;Grant Russia Independence;Grant Russia Independence;
gtfo_RUS_desc;We've had a good run, but it's time to end our rulership of Russia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Russia: if you love something, let it go!;
gtfo_RUT_title;Grant Ruthenia Independence;Grant Ruthenia Independence;
gtfo_RUT_desc;We've had a good run, but it's time to end our rulership of Ruthenia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Ruthenia: if you love something, let it go!;
gtfo_RWA_title;Grant Rwanda Independence;Grant Rwanda Independence;
gtfo_RWA_desc;We've had a good run, but it's time to end our rulership of Rwanda: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Rwanda: if you love something, let it go!;
gtfo_RYK_title;Grant Ryukyu Independence;Grant Ryukyu Independence;
gtfo_RYK_desc;We've had a good run, but it's time to end our rulership of Ryukyu: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Ryukyu: if you love something, let it go!;
gtfo_SAA_title;Grant Saudi Arabia Independence;Grant Saudi Arabia Independence;
gtfo_SAA_desc;We've had a good run, but it's time to end our rulership of Saudi Arabia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Saudi Arabia: if you love something, let it go!;
gtfo_SAF_title;Grant South Africa Independence;Grant South Africa Independence;
gtfo_SAF_desc;We've had a good run, but it's time to end our rulership of South Africa: if you love something, let it go!;We've had a good run, but it's time to end our rulership of South Africa: if you love something, let it go!;
gtfo_SAL_title;Grant Saarland Independence;Grant Saarland Independence;
gtfo_SAL_desc;We've had a good run, but it's time to end our rulership of Saarland: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Saarland: if you love something, let it go!;
gtfo_SAM_title;Grant Samoa Independence;Grant Samoa Independence;
gtfo_SAM_desc;We've had a good run, but it's time to end our rulership of Samoa: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Samoa: if you love something, let it go!;
gtfo_SAR_title;Grant Sardinia Independence;Grant Sardinia Independence;
gtfo_SAR_desc;We've had a good run, but it's time to end our rulership of Sardinia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Sardinia: if you love something, let it go!;
gtfo_SCA_title;Grant Scandinavia Independence;Grant Scandinavia Independence;
gtfo_SCA_desc;We've had a good run, but it's time to end our rulership of Scandinavia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Scandinavia: if you love something, let it go!;
gtfo_SCI_title;Grant Sicily Independence;Grant Sicily Independence;
gtfo_SCI_desc;We've had a good run, but it's time to end our rulership of Sicily: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Sicily: if you love something, let it go!;
gtfo_SCO_title;Grant Scotland Independence;Grant Scotland Independence;
gtfo_SCO_desc;We've had a good run, but it's time to end our rulership of Scotland: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Scotland: if you love something, let it go!;
gtfo_SEL_title;Grant Seleka Independence;Grant Seleka Independence;
gtfo_SEL_desc;We've had a good run, but it's time to end our rulership of Seleka: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Seleka: if you love something, let it go!;
gtfo_SEN_title;Grant Senegalia Independence;Grant Senegalia Independence;
gtfo_SEN_desc;We've had a good run, but it's time to end our rulership of Senegalia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Senegalia: if you love something, let it go!;
gtfo_SER_title;Grant Serbia Independence;Grant Serbia Independence;
gtfo_SER_desc;We've had a good run, but it's time to end our rulership of Serbia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Serbia: if you love something, let it go!;
gtfo_SEY_title;Grant Seychelles Independence;Grant Seychelles Independence;
gtfo_SEY_desc;We've had a good run, but it's time to end our rulership of Seychelles: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Seychelles: if you love something, let it go!;
gtfo_SHA_title;Grant Shan Independence;Grant Shan Independence;
gtfo_SHA_desc;We've had a good run, but it's time to end our rulership of Shan: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Shan: if you love something, let it go!;
gtfo_SIK_title;Grant Sikkim Independence;Grant Sikkim Independence;
gtfo_SIK_desc;We've had a good run, but it's time to end our rulership of Sikkim: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Sikkim: if you love something, let it go!;
gtfo_SIN_title;Grant Sind Independence;Grant Sind Independence;
gtfo_SIN_desc;We've had a good run, but it's time to end our rulership of Sind: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Sind: if you love something, let it go!;
gtfo_SKN_title;Grant St Kits And Nevis Independence;Grant St Kits And Nevis Independence;
gtfo_SKN_desc;We've had a good run, but it's time to end our rulership of St Kits And Nevis: if you love something, let it go!;We've had a good run, but it's time to end our rulership of St Kits And Nevis: if you love something, let it go!;
gtfo_SKO_title;Grant South Korea Independence;Grant South Korea Independence;
gtfo_SKO_desc;We've had a good run, but it's time to end our rulership of South Korea: if you love something, let it go!;We've had a good run, but it's time to end our rulership of South Korea: if you love something, let it go!;
gtfo_SLO_title;Grant Slovenia Independence;Grant Slovenia Independence;
gtfo_SLO_desc;We've had a good run, but it's time to end our rulership of Slovenia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Slovenia: if you love something, let it go!;
gtfo_SLV_title;Grant Slovakia Independence;Grant Slovakia Independence;
gtfo_SLV_desc;We've had a good run, but it's time to end our rulership of Slovakia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Slovakia: if you love something, let it go!;
gtfo_SMA_title;Grant Sint Maarten Independence;Grant Sint Maarten Independence;
gtfo_SMA_desc;We've had a good run, but it's time to end our rulership of Sint Maarten: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Sint Maarten: if you love something, let it go!;
gtfo_SML_title;Grant Somaliland Independence;Grant Somaliland Independence;
gtfo_SML_desc;We've had a good run, but it's time to end our rulership of Somaliland: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Somaliland: if you love something, let it go!;
gtfo_SMU_title;Grant South Maluku Independence;Grant South Maluku Independence;
gtfo_SMU_desc;We've had a good run, but it's time to end our rulership of South Maluku: if you love something, let it go!;We've had a good run, but it's time to end our rulership of South Maluku: if you love something, let it go!;
gtfo_SNG_title;Grant Singapore Independence;Grant Singapore Independence;
gtfo_SNG_desc;We've had a good run, but it's time to end our rulership of Singapore: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Singapore: if you love something, let it go!;
gtfo_SOL_title;Grant Solomon Islands Independence;Grant Solomon Islands Independence;
gtfo_SOL_desc;We've had a good run, but it's time to end our rulership of Solomon Islands: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Solomon Islands: if you love something, let it go!;
gtfo_SOM_title;Grant Somalia Independence;Grant Somalia Independence;
gtfo_SOM_desc;We've had a good run, but it's time to end our rulership of Somalia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Somalia: if you love something, let it go!;
gtfo_SOT_title;Grant South Ossetia Independence;Grant South Ossetia Independence;
gtfo_SOT_desc;We've had a good run, but it's time to end our rulership of South Ossetia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of South Ossetia: if you love something, let it go!;
gtfo_SPA_title;Grant Spain Independence;Grant Spain Independence;
gtfo_SPA_desc;We've had a good run, but it's time to end our rulership of Spain: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Spain: if you love something, let it go!;
gtfo_SPM_title;Grant Saint Pierre and Miquelon Independence;Grant Saint Pierre and Miquelon Independence;
gtfo_SPM_desc;We've had a good run, but it's time to end our rulership of Saint Pierre and Miquelon: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Saint Pierre and Miquelon: if you love something, let it go!;
gtfo_SRK_title;Grant Krajina Independence;Grant Krajina Independence;
gtfo_SRK_desc;We've had a good run, but it's time to end our rulership of Krajina: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Krajina: if you love something, let it go!;
gtfo_SRL_title;Grant Sri Lanka Independence;Grant Sri Lanka Independence;
gtfo_SRL_desc;We've had a good run, but it's time to end our rulership of Sri Lanka: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Sri Lanka: if you love something, let it go!;
gtfo_SRN_title;Grant Sierra Leone Independence;Grant Sierra Leone Independence;
gtfo_SRN_desc;We've had a good run, but it's time to end our rulership of Sierra Leone: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Sierra Leone: if you love something, let it go!;
gtfo_SSU_title;Grant South Sudan Independence;Grant South Sudan Independence;
gtfo_SSU_desc;We've had a good run, but it's time to end our rulership of South Sudan: if you love something, let it go!;We've had a good run, but it's time to end our rulership of South Sudan: if you love something, let it go!;
gtfo_STL_title;Grant St Lucia Independence;Grant St Lucia Independence;
gtfo_STL_desc;We've had a good run, but it's time to end our rulership of St Lucia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of St Lucia: if you love something, let it go!;
gtfo_STP_title;Grant Sao Tome And Principe Independence;Grant Sao Tome And Principe Independence;
gtfo_STP_desc;We've had a good run, but it's time to end our rulership of Sao Tome And Principe: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Sao Tome And Principe: if you love something, let it go!;
gtfo_SUD_title;Grant Sudan Independence;Grant Sudan Independence;
gtfo_SUD_desc;We've had a good run, but it's time to end our rulership of Sudan: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Sudan: if you love something, let it go!;
gtfo_SUR_title;Grant Suriname Independence;Grant Suriname Independence;
gtfo_SUR_desc;We've had a good run, but it's time to end our rulership of Suriname: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Suriname: if you love something, let it go!;
gtfo_SUT_title;Grant South Tyrol Independence;Grant South Tyrol Independence;
gtfo_SUT_desc;We've had a good run, but it's time to end our rulership of South Tyrol: if you love something, let it go!;We've had a good run, but it's time to end our rulership of South Tyrol: if you love something, let it go!;
gtfo_SVG_title;Grant St Vincent And Grenadines Independence;Grant St Vincent And Grenadines Independence;
gtfo_SVG_desc;We've had a good run, but it's time to end our rulership of St Vincent And Grenadines: if you love something, let it go!;We've had a good run, but it's time to end our rulership of St Vincent And Grenadines: if you love something, let it go!;
gtfo_SVI_title;Grant South Vietnam Independence;Grant South Vietnam Independence;
gtfo_SVI_desc;We've had a good run, but it's time to end our rulership of South Vietnam: if you love something, let it go!;We've had a good run, but it's time to end our rulership of South Vietnam: if you love something, let it go!;
gtfo_SWA_title;Grant Swaziland Independence;Grant Swaziland Independence;
gtfo_SWA_desc;We've had a good run, but it's time to end our rulership of Swaziland: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Swaziland: if you love something, let it go!;
gtfo_SWE_title;Grant Sweden Independence;Grant Sweden Independence;
gtfo_SWE_desc;We've had a good run, but it's time to end our rulership of Sweden: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Sweden: if you love something, let it go!;
gtfo_SWI_title;Grant Switzerland Independence;Grant Switzerland Independence;
gtfo_SWI_desc;We've had a good run, but it's time to end our rulership of Switzerland: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Switzerland: if you love something, let it go!;
gtfo_SYE_title;Grant South Yemen Independence;Grant South Yemen Independence;
gtfo_SYE_desc;We've had a good run, but it's time to end our rulership of South Yemen: if you love something, let it go!;We've had a good run, but it's time to end our rulership of South Yemen: if you love something, let it go!;
gtfo_SYR_title;Grant Syria Independence;Grant Syria Independence;
gtfo_SYR_desc;We've had a good run, but it's time to end our rulership of Syria: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Syria: if you love something, let it go!;
gtfo_TAE_title;Grant Tamil Eelam Independence;Grant Tamil Eelam Independence;
gtfo_TAE_desc;We've had a good run, but it's time to end our rulership of Tamil Eelam: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Tamil Eelam: if you love something, let it go!;
gtfo_TAI_title;Grant Taiwan Independence;Grant Taiwan Independence;
gtfo_TAI_desc;We've had a good run, but it's time to end our rulership of Taiwan: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Taiwan: if you love something, let it go!;
gtfo_TAJ_title;Grant Tajikistan Independence;Grant Tajikistan Independence;
gtfo_TAJ_desc;We've had a good run, but it's time to end our rulership of Tajikistan: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Tajikistan: if you love something, let it go!;
gtfo_TAN_title;Grant Tanzania Independence;Grant Tanzania Independence;
gtfo_TAN_desc;We've had a good run, but it's time to end our rulership of Tanzania: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Tanzania: if you love something, let it go!;
gtfo_TAR_title;Grant Tatarstan Independence;Grant Tatarstan Independence;
gtfo_TAR_desc;We've had a good run, but it's time to end our rulership of Tatarstan: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Tatarstan: if you love something, let it go!;
gtfo_TAT_title;Grant Trinidad and Tobago Independence;Grant Trinidad and Tobago Independence;
gtfo_TAT_desc;We've had a good run, but it's time to end our rulership of Trinidad and Tobago: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Trinidad and Tobago: if you love something, let it go!;
gtfo_TCI_title;Grant Turks and Caicos Islands Independence;Grant Turks and Caicos Islands Independence;
gtfo_TCI_desc;We've had a good run, but it's time to end our rulership of Turks and Caicos Islands: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Turks and Caicos Islands: if you love something, let it go!;
gtfo_TEX_title;Grant Texas Independence;Grant Texas Independence;
gtfo_TEX_desc;We've had a good run, but it's time to end our rulership of Texas: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Texas: if you love something, let it go!;
gtfo_THI_title;Grant Thailand Independence;Grant Thailand Independence;
gtfo_THI_desc;We've had a good run, but it's time to end our rulership of Thailand: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Thailand: if you love something, let it go!;
gtfo_TIB_title;Grant Tibet Independence;Grant Tibet Independence;
gtfo_TIB_desc;We've had a good run, but it's time to end our rulership of Tibet: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Tibet: if you love something, let it go!;
gtfo_TIM_title;Grant East Timor Independence;Grant East Timor Independence;
gtfo_TIM_desc;We've had a good run, but it's time to end our rulership of East Timor: if you love something, let it go!;We've had a good run, but it's time to end our rulership of East Timor: if you love something, let it go!;
gtfo_TKR_title;Grant Turkestan Independence;Grant Turkestan Independence;
gtfo_TKR_desc;We've had a good run, but it's time to end our rulership of Turkestan: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Turkestan: if you love something, let it go!;
gtfo_TNT_title;Grant Tuva Independence;Grant Tuva Independence;
gtfo_TNT_desc;We've had a good run, but it's time to end our rulership of Tuva: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Tuva: if you love something, let it go!;
gtfo_TOG_title;Grant Togo Independence;Grant Togo Independence;
gtfo_TOG_desc;We've had a good run, but it's time to end our rulership of Togo: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Togo: if you love something, let it go!;
gtfo_TOK_title;Grant Tokelau Independence;Grant Tokelau Independence;
